Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Upper bound value,Lower bound value,Value
2000,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",60.5,54.5,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,57.5
2001,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",58.9,53.2,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,56.1
2002,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",57.4,52,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,54.7
2003,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",56,50.7,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,53.4
2004,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",54.7,49.4,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,52.0
2005,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",53.4,48,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,50.7
2006,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",52.1,46.7,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,49.4
2007,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",50.9,45.4,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,48.1
2008,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",49.6,44.2,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,46.9
2009,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",48.4,43.2,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,45.8
2010,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",47.2,42.3,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,44.7
2011,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",46,41.4,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,43.7
2012,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",44.9,40.6,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,42.8
2013,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",43.9,39.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,41.8
2014,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",42.9,39,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,41.0
2015,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",42,38.1,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,40.1
2016,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",41.3,37.1,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,39.2
2017,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",40.5,35.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,38.2
