Year,SDG Series,Value
2004,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.02016
2005,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.01958
2006,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.03085
2007,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.04137
2008,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.06892
2009,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.09879
2010,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.30045
2011,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.31928
2012,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",0.46296
2004,"Number of commercial bank branches per 100,000 adults [8.10.1]",0.84169
2005,"Number of commercial bank branches per 100,000 adults [8.10.1]",0.92284
2006,"Number of commercial bank branches per 100,000 adults [8.10.1]",0.94675
2007,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.08705
2008,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.205
2009,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.32725
2010,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.37376
2011,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.90972
2012,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.94295
