Year,COMMENT_OBS,SDG Series,Sex,Age,Composite breakdown,Unit of measure,Observation-level footnotes,Value
2021,"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Not available,Not available,Parliamentary committee: Defence,Number,"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Not available,Not available,Parliamentary committee: Defence,Number,"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Not available,Not available,Parliamentary committee: Human Rights,Number,"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Not available,Not available,Parliamentary committee: Human Rights,Number,"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Female,46 years old and over,Parliamentary committee: Finance,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Female,46 years old and over,Parliamentary committee: Finance,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Female,46 years old and over,Parliamentary committee: Gender Equality,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Female,46 years old and over,Parliamentary committee: Gender Equality,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,Parliamentary committee: Foreign Affairs,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,Parliamentary committee: Foreign Affairs,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",1.0
