Year,SDG Series,Value
2017,Non-performing loans to total gross loans (%) [10.5.1],3.41286
2018,Non-performing loans to total gross loans (%) [10.5.1],3.56052
2019,Non-performing loans to total gross loans (%) [10.5.1],2.67174
2017,Return on assets (%) [10.5.1],2.15086
2018,Return on assets (%) [10.5.1],3.05926
2019,Return on assets (%) [10.5.1],2.85681
2020,Return on assets (%) [10.5.1],2.15201
2017,Regulatory capital to assets (%) [10.5.1],8.67029
2018,Regulatory capital to assets (%) [10.5.1],8.59801
2019,Regulatory capital to assets (%) [10.5.1],7.9768
2017,Non-performing loans net of provisions to capital (%) [10.5.1],7.35901
2018,Non-performing loans net of provisions to capital (%) [10.5.1],12.6162
2019,Non-performing loans net of provisions to capital (%) [10.5.1],7.68609
2020,Non-performing loans net of provisions to capital (%) [10.5.1],18.31955
2017,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],23.22364
2018,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],20.95421
2019,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.69083
2020,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.17922
2017,Liquid assets to short term liabilities (%) [10.5.1],14.29817
2018,Liquid assets to short term liabilities (%) [10.5.1],15.18804
2019,Liquid assets to short term liabilities (%) [10.5.1],14.35788
2020,Liquid assets to short term liabilities (%) [10.5.1],16.95697
2019,Net open position in foreign exchange to capital (%) [10.5.1],28.88153
2020,Net open position in foreign exchange to capital (%) [10.5.1],28.41926
