Value,Disaggregation combinations using this value,Number of indicators
2020 dataset disaggregated into relevant themes,2,1
"ABS measures reported refers to legislative, administrative and policy framework or measures reported to the ABS Clearing-House. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.",1,1
"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ",1,1
"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.",7,1
" Addis Ababa, Maize, Wholesale price",1,1
" Addis Ababa, Sorghum (white), Wholesale price",1,1
" Addis Ababa, Wheat (white), Wholesale price",1,1
"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election ",1,1
"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election",1,1
"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	1 means over-representation of ‘youth’ (45 years and below) in parliament ",2,1
"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	1 means over-representation of women in parliament ",2,1
"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",5,2
"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	1 means over-representation of women in parliament ",2,1
"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year",3,1
"City: Adama Nazreth; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
