Value,Disaggregation combinations using this value,Number of indicators
African Development Bank Group Annual Report 2000,4,2
African Development Bank Group Annual Report 2005,4,2
African Development Bank Group Annual Report 2010,4,2
African Development Bank Group Annual Report 2014,4,2
African Development Bank Group Annual Report 2015,4,2
African Development Bank Group Annual Report 2016,4,2
African Development Bank Group Annual Report 2017,4,2
African Development Bank Group Annual Report 2018,4,2
African Development Bank Group Annual Report 2019,4,2
"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",4,1
"Central Statistical Agency (CSA) [Ethiopia], ICF. Ethiopia Demographic and Health Survey 2016. Addis Ababa, Ethiopia, and Rockville, Maryland, USA: CSA , ICF; 2016.",1,1
"Central Statistical Agency [Ethiopia], ICF International. Ethiopia Demographic and Health Survey 2011. Addis Ababa, Ethiopia and Calverton, Maryland, USA: Central Statistical Agency, ICF International; 2012.",1,1
"Central Statistical Agency, ORC Macro. Ethiopia Demographic and Health Survey 2005. Addis Ababa, Ethiopia and Calverton, Maryland, USA: Central Statistical Agency, ORC Macro; 2006.",1,1
"Central Statistical Authority [Ethiopia], ORC Macro. Ethiopia Demographic and Health Survey 2000. Addis Ababa, Ethiopia and Calverton, Maryland, USA: Central Statistical Authority, ORC Macro; 2001.",1,1
DAD-IS 21.11.2022 http://www.fao.org/dad-is/,2,1
DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2,1
"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",5,2
Data from FAOSTAT extracted 20220110,1,1
Data gathered as a result of a survey,4,1
Data gathered from the latest version of NBSAP,2,1
"Data gathered through a literature search (primary sources ECOLEX, FAOLEX) and consultation with country experts",1,1
"DHS 2011. UNFPA Global Database, 2022.",4,1
"DHS 2016. UNFPA Global Database, 2022.",4,1
EDUCATION STATISTICS ANNUAL ABSTRACT 2012 E.C. 2019/20 (http://www.moe.gov.et/storage/Books/Education%20Statistics%20Annual%20Abstract%20March%202019%20-%20September%202020.pdf); Data extracted on 01 April 2022.,3,1
Environment Live,3,1
Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,9,1
Ethiopia 2000 Demographic and Health Survey,1,1
Ethiopia 2005 Demographic and Health Survey,3,2
Ethiopia 2007 Census,1,1
Ethiopia 2011 Demographic and Health Survey,3,2
Ethiopia 2014 Mini Demographic and Health Survey,2,1
Ethiopia 2014 PMA2020 Round 2,2,2
Ethiopia 2015 PMA2020 Round 3,1,1
Ethiopia 2016 Demographic and Health Survey (DHS),1,1
Ethiopia 2016 Demographic and Health Survey,2,2
Ethiopia 2016 PMA2020 Round 4,1,1
Ethiopia 2017 PMA2020 Round 5,1,1
Ethiopia 2018 PMA2020 Round 6,1,1
Ethiopia 2019 Demographic and Health Survey,2,1
Ethiopia 2019 PMA Cross Sectional,1,1
"Ethiopia demographic and health survey 2000. Demographic and Health Surveys. Addis Ababa, Ethiopia and Calverton, Maryland, USA: Central Statistical Authority and ORC Macro, 2001",2,1
"Ethiopia demographic and health survey 2005. Demographic and Health Surveys. Addis Ababa, Ethiopia and Calverton, Maryland, USA: General Statistical Agency and ORC Macro, 2006",2,1
"Ethiopia demographic and health survey 2011. Demographic and Health Surveys. Addis Ababa, Ethiopia and Calverton, Maryland, USA: Central Statistical Agency and ICF International, 2012",2,1
"Ethiopia Demographic and Health Survey 2016. Addis Ababa, Ethiopia, and Rockville, Maryland, USA: CSA and ICF.",2,1
Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,117,1
Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,18,1
Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,135,1
Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,27,1
Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,2,1
Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,55,1
Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,78,1
Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,2,1
Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,34,1
Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,126,1
Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,9,1
Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,46,1
Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,80,1
Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,6,1
Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,28,1
Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,128,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,3,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,54,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,78,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,2,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,34,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,126,1
"Ethiopia - Household Income, Consumption and Expenditure Survey 2004-2005 - World Bank SHIP Harmonized Dataset",2,1
"Ethiopia Household Income, Consumption and Expenditure survey 2011",2,1
Ethiopia Mini Demographic and Health Survey 2014. Addis Ababa: Central Statistical Agency [Ethiopia]; 2014.,1,1
"Ethiopia mini demographic and health survey 2014. Addis Ababa, Ethiopia, 2014.",2,1
"Ethiopia Mini Demographic and Health Survey 2019: Key Indicators. Rockville, Maryland, USA: EPHI and ICF.",2,1
"Ethiopia Population and Housing Census 2007. IPUMS-International, Central Statistical Agency.; Data extracted on 01 April 2022.",27,1
"Ethiopia Population and Housing Census 2007. IPUMS-Intertiol, Central Statistical Agency.; Data extracted on 01 April 2022.",18,1
Ethiopian Fifth National Learning Assessment. Percentage of students who scored 50% and above in English. Grade 8. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,1,1
Ethiopian Fifth National Learning Assessment. Percentage of students who scored 50% and above. Grade 4. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,2,1
