Year,SDG Series,Sex,Age,Unit of measure,Value
2000,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",87.2
2001,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",83.8
2002,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",80.3
2003,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",76.7
2004,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",73.1
2005,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",69.5
2006,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",66.1
2007,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",62.8
2008,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",59.8
2009,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",57.0
2010,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",54.3
2011,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",51.9
2012,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",49.5
2013,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",47.3
2014,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",45.2
2015,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",43.2
2016,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",41.3
2017,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",39.5
2018,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",38.0
2019,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",36.6
2020,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",35.4
2000,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",76.7
2001,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",73.5
2002,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",70.3
2003,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",67.0
2004,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",63.6
2005,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",60.3
2006,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",57.1
2007,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",54.2
2008,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",51.4
2009,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",48.9
2010,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",46.6
2011,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",44.5
2012,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",42.4
2013,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",40.4
2014,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",38.6
2015,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",36.9
2016,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",35.3
2017,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",33.8
2018,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",32.5
2019,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",31.3
2020,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",30.3
2000,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",97.1
2001,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",93.5
2002,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",89.8
2003,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",86.0
2004,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",82.1
2005,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",78.2
2006,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",74.5
2007,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",71.0
2008,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",67.7
2009,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",64.6
2010,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",61.6
2011,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",58.9
2012,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",56.2
2013,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",53.7
2014,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",51.4
2015,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",49.1
2016,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",47.0
2017,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",45.0
2018,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",43.2
2019,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",41.6
2020,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",40.2
2000,Infant deaths (number) [3.2.1],,under 1 year old,Number,247496.0
2001,Infant deaths (number) [3.2.1],,under 1 year old,Number,240720.0
2002,Infant deaths (number) [3.2.1],,under 1 year old,Number,232838.0
2003,Infant deaths (number) [3.2.1],,under 1 year old,Number,224068.0
2004,Infant deaths (number) [3.2.1],,under 1 year old,Number,214932.0
2005,Infant deaths (number) [3.2.1],,under 1 year old,Number,205677.0
2006,Infant deaths (number) [3.2.1],,under 1 year old,Number,196895.0
2007,Infant deaths (number) [3.2.1],,under 1 year old,Number,188757.0
2008,Infant deaths (number) [3.2.1],,under 1 year old,Number,181356.0
2009,Infant deaths (number) [3.2.1],,under 1 year old,Number,174702.0
2010,Infant deaths (number) [3.2.1],,under 1 year old,Number,168763.0
2011,Infant deaths (number) [3.2.1],,under 1 year old,Number,163338.0
2012,Infant deaths (number) [3.2.1],,under 1 year old,Number,158244.0
