Year,Degree of urbanisation,Value
2010,,24.9338205692687
2011,,25.0857409544862
2012,,24.590816384436
2013,,24.5359870808209
2014,,24.325443215046
2015,,24.5642825334886
2016,,24.6218316488463
2017,,24.6618202460601
2018,,24.6769139240103
2019,,23.973662216072
2010,City,26.3345592656187
2011,City,26.4433657580094
2012,City,25.9304584858415
2013,City,25.9658655697878
2014,City,25.8405708720092
2015,City,26.0142435050269
2016,City,26.0675850125152
2017,City,26.0671257267035
2018,City,26.178817708861
2019,City,25.4991952276487
2010,Rural,24.1071675460551
2011,Rural,24.2842717962862
2012,Rural,23.793447998383
2013,Rural,23.6951472002631
2014,Rural,23.4081863765591
2015,Rural,23.6759566366045
2016,Rural,23.7409640291617
2017,Rural,23.8251938468901
2018,Rural,23.7733735540832
2019,Rural,23.0518719578084
2010,Town and semi-dense area,25.4381787842586
2011,Town and semi-dense area,25.5752474340366
2012,Town and semi-dense area,25.0917322939159
2013,Town and semi-dense area,25.0423296518761
2014,Town and semi-dense area,24.9342038531872
2015,Town and semi-dense area,25.1755937735278
2016,Town and semi-dense area,25.2176910748335
2017,Town and semi-dense area,25.1869085530986
2018,Town and semi-dense area,25.2636513277993
2019,Town and semi-dense area,24.5804077830593
2010,Urban,25.9395042879623
2011,Urban,26.0605826624824
2012,Urban,25.5604603769755
2013,Urban,25.5582639121497
2014,Urban,25.4403617293632
2015,Urban,25.6437652920714
2016,Urban,25.6919687548892
2017,Urban,25.6779335293611
2018,Urban,25.7739953672488
2019,Urban,25.0925986329954
