Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population using basic drinking water services [1.4.1],,18
2001,Proportion of population using basic drinking water services [1.4.1],,20
2002,Proportion of population using basic drinking water services [1.4.1],,21
2003,Proportion of population using basic drinking water services [1.4.1],,23
2004,Proportion of population using basic drinking water services [1.4.1],,25
2005,Proportion of population using basic drinking water services [1.4.1],,26
2006,Proportion of population using basic drinking water services [1.4.1],,28
2007,Proportion of population using basic drinking water services [1.4.1],,29
2008,Proportion of population using basic drinking water services [1.4.1],,31
2009,Proportion of population using basic drinking water services [1.4.1],,33
2010,Proportion of population using basic drinking water services [1.4.1],,34
2011,Proportion of population using basic drinking water services [1.4.1],,36
2012,Proportion of population using basic drinking water services [1.4.1],,37
2013,Proportion of population using basic drinking water services [1.4.1],,39
2014,Proportion of population using basic drinking water services [1.4.1],,41
2015,Proportion of population using basic drinking water services [1.4.1],,42
2016,Proportion of population using basic drinking water services [1.4.1],,44
2017,Proportion of population using basic drinking water services [1.4.1],,45
2018,Proportion of population using basic drinking water services [1.4.1],,47
2019,Proportion of population using basic drinking water services [1.4.1],,48
2020,Proportion of population using basic drinking water services [1.4.1],,50
2000,Proportion of population using basic drinking water services [1.4.1],Rural,8
2001,Proportion of population using basic drinking water services [1.4.1],Rural,10
2002,Proportion of population using basic drinking water services [1.4.1],Rural,12
2003,Proportion of population using basic drinking water services [1.4.1],Rural,13
2004,Proportion of population using basic drinking water services [1.4.1],Rural,15
2005,Proportion of population using basic drinking water services [1.4.1],Rural,17
2006,Proportion of population using basic drinking water services [1.4.1],Rural,18
2007,Proportion of population using basic drinking water services [1.4.1],Rural,20
2008,Proportion of population using basic drinking water services [1.4.1],Rural,21
2009,Proportion of population using basic drinking water services [1.4.1],Rural,23
2010,Proportion of population using basic drinking water services [1.4.1],Rural,25
2011,Proportion of population using basic drinking water services [1.4.1],Rural,26
2012,Proportion of population using basic drinking water services [1.4.1],Rural,28
2013,Proportion of population using basic drinking water services [1.4.1],Rural,29
2014,Proportion of population using basic drinking water services [1.4.1],Rural,31
2015,Proportion of population using basic drinking water services [1.4.1],Rural,32
2016,Proportion of population using basic drinking water services [1.4.1],Rural,34
2017,Proportion of population using basic drinking water services [1.4.1],Rural,36
2018,Proportion of population using basic drinking water services [1.4.1],Rural,37
2019,Proportion of population using basic drinking water services [1.4.1],Rural,39
2020,Proportion of population using basic drinking water services [1.4.1],Rural,40
2000,Proportion of population using basic drinking water services [1.4.1],Urban,75
2001,Proportion of population using basic drinking water services [1.4.1],Urban,76
2002,Proportion of population using basic drinking water services [1.4.1],Urban,76
2003,Proportion of population using basic drinking water services [1.4.1],Urban,77
2004,Proportion of population using basic drinking water services [1.4.1],Urban,77
2005,Proportion of population using basic drinking water services [1.4.1],Urban,77
2006,Proportion of population using basic drinking water services [1.4.1],Urban,78
2007,Proportion of population using basic drinking water services [1.4.1],Urban,78
2008,Proportion of population using basic drinking water services [1.4.1],Urban,79
2009,Proportion of population using basic drinking water services [1.4.1],Urban,79
2010,Proportion of population using basic drinking water services [1.4.1],Urban,80
2011,Proportion of population using basic drinking water services [1.4.1],Urban,80
2012,Proportion of population using basic drinking water services [1.4.1],Urban,81
2013,Proportion of population using basic drinking water services [1.4.1],Urban,81
2014,Proportion of population using basic drinking water services [1.4.1],Urban,82
