Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2021,Ethiopian Human Rights Commission ,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",Ethiopian Human Rights Commission ,1
2015,Ethiopian Human Rights Commission ,"Countries with National Human Rights Institutions not fully compliant with the Paris Principles, B status (1 = YES; 0 = NO) [16.a.1]",Ethiopian Human Rights Commission ,1
2016,Ethiopian Human Rights Commission ,"Countries with National Human Rights Institutions not fully compliant with the Paris Principles, B status (1 = YES; 0 = NO) [16.a.1]",Ethiopian Human Rights Commission ,1
2017,Ethiopian Human Rights Commission ,"Countries with National Human Rights Institutions not fully compliant with the Paris Principles, B status (1 = YES; 0 = NO) [16.a.1]",Ethiopian Human Rights Commission ,1
2018,Ethiopian Human Rights Commission ,"Countries with National Human Rights Institutions not fully compliant with the Paris Principles, B status (1 = YES; 0 = NO) [16.a.1]",Ethiopian Human Rights Commission ,1
2019,Ethiopian Human Rights Commission ,"Countries with National Human Rights Institutions not fully compliant with the Paris Principles, B status (1 = YES; 0 = NO) [16.a.1]",Ethiopian Human Rights Commission ,1
2020,Ethiopian Human Rights Commission ,"Countries with National Human Rights Institutions not fully compliant with the Paris Principles, B status (1 = YES; 0 = NO) [16.a.1]",Ethiopian Human Rights Commission ,1
2000,,"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",,1
2005,,"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",,1
2010,,"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",,1
