Year,COMMENT_OBS,SDG Series,Unit of measure,Observation-level footnotes,BASE_PER,Base period,Value
2000,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2001,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2002,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2003,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2004,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2005,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2006,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2007,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2008,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2009,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,4.0
2010,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2011,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2012,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2013,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2014,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,120.0
2015,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2016,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2017,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2018,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2019,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2020,Obs_Value = 0;  ,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2000,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
