Year,SDG Series,Unit of measure,Value
2000,Neonatal mortality rate [3.2.2],"Per 1,000 live births",48.6
2001,Neonatal mortality rate [3.2.2],"Per 1,000 live births",47.8
2002,Neonatal mortality rate [3.2.2],"Per 1,000 live births",46.8
2003,Neonatal mortality rate [3.2.2],"Per 1,000 live births",45.8
2004,Neonatal mortality rate [3.2.2],"Per 1,000 live births",44.8
2005,Neonatal mortality rate [3.2.2],"Per 1,000 live births",43.7
2006,Neonatal mortality rate [3.2.2],"Per 1,000 live births",42.6
2007,Neonatal mortality rate [3.2.2],"Per 1,000 live births",41.4
2008,Neonatal mortality rate [3.2.2],"Per 1,000 live births",40.2
2009,Neonatal mortality rate [3.2.2],"Per 1,000 live births",39.1
2010,Neonatal mortality rate [3.2.2],"Per 1,000 live births",37.9
2011,Neonatal mortality rate [3.2.2],"Per 1,000 live births",36.7
2012,Neonatal mortality rate [3.2.2],"Per 1,000 live births",35.5
2013,Neonatal mortality rate [3.2.2],"Per 1,000 live births",34.3
2014,Neonatal mortality rate [3.2.2],"Per 1,000 live births",33.1
2015,Neonatal mortality rate [3.2.2],"Per 1,000 live births",31.9
2016,Neonatal mortality rate [3.2.2],"Per 1,000 live births",30.7
2017,Neonatal mortality rate [3.2.2],"Per 1,000 live births",29.7
2018,Neonatal mortality rate [3.2.2],"Per 1,000 live births",28.7
2019,Neonatal mortality rate [3.2.2],"Per 1,000 live births",27.8
2020,Neonatal mortality rate [3.2.2],"Per 1,000 live births",27.0
2000,Neonatal deaths (number) [3.2.2],Number,140923.0
2001,Neonatal deaths (number) [3.2.2],Number,139777.0
2002,Neonatal deaths (number) [3.2.2],Number,138007.0
2003,Neonatal deaths (number) [3.2.2],Number,135886.0
2004,Neonatal deaths (number) [3.2.2],Number,133580.0
2005,Neonatal deaths (number) [3.2.2],Number,131241.0
2006,Neonatal deaths (number) [3.2.2],Number,128712.0
2007,Neonatal deaths (number) [3.2.2],Number,126186.0
2008,Neonatal deaths (number) [3.2.2],Number,123856.0
2009,Neonatal deaths (number) [3.2.2],Number,121661.0
2010,Neonatal deaths (number) [3.2.2],Number,119429.0
2011,Neonatal deaths (number) [3.2.2],Number,117293.0
2012,Neonatal deaths (number) [3.2.2],Number,115106.0
2013,Neonatal deaths (number) [3.2.2],Number,112917.0
2014,Neonatal deaths (number) [3.2.2],Number,110655.0
2015,Neonatal deaths (number) [3.2.2],Number,108300.0
2016,Neonatal deaths (number) [3.2.2],Number,105776.0
2017,Neonatal deaths (number) [3.2.2],Number,103460.0
2018,Neonatal deaths (number) [3.2.2],Number,101340.0
2019,Neonatal deaths (number) [3.2.2],Number,99406.0
2020,Neonatal deaths (number) [3.2.2],Number,97475.0
