Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,31.1,18.2,,34.1,22.1,24.6
2005,30.5,18.5,,34.1,22.1,24.5
2010,28.6,18,,34.1,22.1,23.3
2015,31.6,20.5,,34.1,22.1,26.0
2019,34.1,22.1,,34.1,22.1,28.2
2000,20.8,12.2,Female,19.6,12.7,16.5
2005,20.1,12.2,Female,19.6,12.7,16.2
2010,17.8,11.2,Female,19.6,12.7,14.5
2015,18.4,11.9,Female,19.6,12.7,15.2
2019,19.6,12.7,Female,19.6,12.7,16.2
2000,41.4,24.2,Male,48.7,31.5,32.8
2005,41,24.9,Male,48.7,31.5,32.9
2010,39.4,24.8,Male,48.7,31.5,32.1
2015,44.8,29,Male,48.7,31.5,36.9
2019,48.7,31.5,Male,48.7,31.5,40.2
