Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Upper bound value,Lower bound value,Value
2015,0,The observation represents the 3-year average of the period 2014-2016.,59.7,52.7,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,60.2,52.3,56.2
2016,0,The observation represents the 3-year average of the period 2015-2017.,61.7,54.9,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,60.2,52.3,58.3
2017,0,The observation represents the 3-year average of the period 2016-2018.,63.1,55.7,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,60.2,52.3,59.4
2018,0,The observation represents the 3-year average of the period 2017-2019.,61.4,54.4,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,60.2,52.3,57.9
2019,0,The observation represents the 3-year average of the period 2018-2020.,60.3,52.4,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,60.2,52.3,56.3
2020,0,The observation represents the 3-year average of the period 2019-2021.,60.2,52.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,60.2,52.3,56.2
2015,0,The observation represents the 3-year average of the period 2014-2016.,59.4,51.2,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,57.8,51.2,55.3
2016,0,The observation represents the 3-year average of the period 2015-2017.,59.3,51.4,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,57.8,51.2,55.4
2017,0,The observation represents the 3-year average of the period 2016-2018.,58.4,50.1,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,57.8,51.2,54.3
2018,0,The observation represents the 3-year average of the period 2017-2019.,56.2,48.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,57.8,51.2,52.2
2019,0,The observation represents the 3-year average of the period 2018-2020.,56.3,48.8,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,57.8,51.2,52.5
2020,0,The observation represents the 3-year average of the period 2019-2021.,57.8,51.2,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,57.8,51.2,54.5
2015,0,The observation represents the 3-year average of the period 2014-2016.,57.6,48.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,60.7,54,53.0
2016,0,The observation represents the 3-year average of the period 2015-2017.,61,52,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,60.7,54,56.5
2017,0,The observation represents the 3-year average of the period 2016-2018.,64.1,54.5,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,60.7,54,59.3
