Year,Sex,Age,Value
2000,,,1.2
2001,,,1.03
2002,,,0.9
2003,,,0.8
2004,,,0.71
2005,,,0.66
2006,,,0.58
2007,,,0.52
2008,,,0.45
2009,,,0.41
2010,,,0.36
2011,,,0.32
2012,,,0.28
2013,,,0.24
2014,,,0.22
2015,,,0.2
2016,,,0.19
2017,,,0.17
2018,,,0.15
2019,,,0.13
2020,,,0.12
2000,,50 years old and over,0.6
2001,,50 years old and over,0.49
2002,,50 years old and over,0.43
2003,,50 years old and over,0.38
2004,,50 years old and over,0.34
2005,,50 years old and over,0.31
2006,,50 years old and over,0.28
2007,,50 years old and over,0.24
2008,,50 years old and over,0.21
2009,,50 years old and over,0.19
2010,,50 years old and over,0.17
2011,,50 years old and over,0.15
2012,,50 years old and over,0.13
2013,,50 years old and over,0.11
2014,,50 years old and over,0.1
2015,,50 years old and over,0.09
2016,,50 years old and over,0.08
2017,,50 years old and over,0.07
2018,,50 years old and over,0.06
2019,,50 years old and over,0.06
2020,,50 years old and over,0.05
2000,,under 15 years old,0.93
2001,,under 15 years old,0.83
2002,,under 15 years old,0.74
2003,,under 15 years old,0.65
2004,,under 15 years old,0.57
2005,,under 15 years old,0.51
2006,,under 15 years old,0.45
2007,,under 15 years old,0.4
2008,,under 15 years old,0.33
2009,,under 15 years old,0.31
2010,,under 15 years old,0.27
2011,,under 15 years old,0.22
2012,,under 15 years old,0.17
2013,,under 15 years old,0.15
2014,,under 15 years old,0.14
2015,,under 15 years old,0.12
2016,,under 15 years old,0.13
2017,,under 15 years old,0.12
2018,,under 15 years old,0.1
2019,,under 15 years old,0.08
2020,,under 15 years old,0.07
2000,,15 to 24 years old,1.56
2001,,15 to 24 years old,1.32
2002,,15 to 24 years old,1.14
2003,,15 to 24 years old,1.0
2004,,15 to 24 years old,0.9
2005,,15 to 24 years old,0.84
2006,,15 to 24 years old,0.74
2007,,15 to 24 years old,0.67
2008,,15 to 24 years old,0.58
2009,,15 to 24 years old,0.53
2010,,15 to 24 years old,0.47
2011,,15 to 24 years old,0.43
2012,,15 to 24 years old,0.39
2013,,15 to 24 years old,0.33
2014,,15 to 24 years old,0.31
2015,,15 to 24 years old,0.28
2016,,15 to 24 years old,0.25
2017,,15 to 24 years old,0.22
2018,,15 to 24 years old,0.2
2019,,15 to 24 years old,0.19
2020,,15 to 24 years old,0.17
2000,,15 to 49 years old,1.63
2001,,15 to 49 years old,1.37
2002,,15 to 49 years old,1.19
2003,,15 to 49 years old,1.05
2004,,15 to 49 years old,0.95
2005,,15 to 49 years old,0.88
2006,,15 to 49 years old,0.78
2007,,15 to 49 years old,0.7
2008,,15 to 49 years old,0.61
2009,,15 to 49 years old,0.56
2010,,15 to 49 years old,0.5
2011,,15 to 49 years old,0.45
2012,,15 to 49 years old,0.41
2013,,15 to 49 years old,0.35
2014,,15 to 49 years old,0.32
2015,,15 to 49 years old,0.29
2016,,15 to 49 years old,0.26
2017,,15 to 49 years old,0.23
2018,,15 to 49 years old,0.21
2019,,15 to 49 years old,0.19
2020,,15 to 49 years old,0.17
2000,Female,,1.35
2001,Female,,1.16
2002,Female,,1.02
2003,Female,,0.9
2004,Female,,0.81
2005,Female,,0.74
2006,Female,,0.66
2007,Female,,0.59
2008,Female,,0.51
2009,Female,,0.47
2010,Female,,0.41
2011,Female,,0.37
2012,Female,,0.33
2013,Female,,0.28
2014,Female,,0.27
2015,Female,,0.25
2016,Female,,0.23
2017,Female,,0.21
2018,Female,,0.19
2019,Female,,0.17
2020,Female,,0.15
2000,Female,50 years old and over,0.52
2001,Female,50 years old and over,0.43
2002,Female,50 years old and over,0.37
2003,Female,50 years old and over,0.33
2004,Female,50 years old and over,0.3
2005,Female,50 years old and over,0.28
2006,Female,50 years old and over,0.25
2007,Female,50 years old and over,0.22
2008,Female,50 years old and over,0.19
2009,Female,50 years old and over,0.17
2010,Female,50 years old and over,0.15
2011,Female,50 years old and over,0.14
2012,Female,50 years old and over,0.12
2013,Female,50 years old and over,0.11
2014,Female,50 years old and over,0.1
2015,Female,50 years old and over,0.09
2016,Female,50 years old and over,0.08
2017,Female,50 years old and over,0.07
2018,Female,50 years old and over,0.07
2019,Female,50 years old and over,0.06
2020,Female,50 years old and over,0.05
2000,Female,15 to 24 years old,2.32
2001,Female,15 to 24 years old,1.95
2002,Female,15 to 24 years old,1.69
2003,Female,15 to 24 years old,1.49
2004,Female,15 to 24 years old,1.34
2005,Female,15 to 24 years old,1.24
2006,Female,15 to 24 years old,1.11
2007,Female,15 to 24 years old,0.99
2008,Female,15 to 24 years old,0.86
2009,Female,15 to 24 years old,0.79
2010,Female,15 to 24 years old,0.7
2011,Female,15 to 24 years old,0.64
2012,Female,15 to 24 years old,0.59
2013,Female,15 to 24 years old,0.5
2014,Female,15 to 24 years old,0.48
2015,Female,15 to 24 years old,0.44
2016,Female,15 to 24 years old,0.39
2017,Female,15 to 24 years old,0.35
2018,Female,15 to 24 years old,0.32
2019,Female,15 to 24 years old,0.3
2020,Female,15 to 24 years old,0.28
2000,Female,15 to 49 years old,2.02
2001,Female,15 to 49 years old,1.7
2002,Female,15 to 49 years old,1.48
2003,Female,15 to 49 years old,1.3
2004,Female,15 to 49 years old,1.18
2005,Female,15 to 49 years old,1.09
2006,Female,15 to 49 years old,0.97
2007,Female,15 to 49 years old,0.87
2008,Female,15 to 49 years old,0.75
2009,Female,15 to 49 years old,0.69
2010,Female,15 to 49 years old,0.62
2011,Female,15 to 49 years old,0.56
2012,Female,15 to 49 years old,0.52
2013,Female,15 to 49 years old,0.44
2014,Female,15 to 49 years old,0.42
2015,Female,15 to 49 years old,0.39
2016,Female,15 to 49 years old,0.35
2017,Female,15 to 49 years old,0.31
2018,Female,15 to 49 years old,0.28
2019,Female,15 to 49 years old,0.26
2020,Female,15 to 49 years old,0.24
2000,Male,,1.05
2001,Male,,0.9
2002,Male,,0.79
2003,Male,,0.7
2004,Male,,0.62
2005,Male,,0.57
2006,Male,,0.51
2007,Male,,0.45
2008,Male,,0.39
2009,Male,,0.35
2010,Male,,0.31
2011,Male,,0.27
2012,Male,,0.23
2013,Male,,0.19
2014,Male,,0.18
2015,Male,,0.16
2016,Male,,0.15
2017,Male,,0.13
2018,Male,,0.11
2019,Male,,0.1
2020,Male,,0.09
2000,Male,50 years old and over,0.7
2001,Male,50 years old and over,0.56
2002,Male,50 years old and over,0.49
2003,Male,50 years old and over,0.43
2004,Male,50 years old and over,0.39
2005,Male,50 years old and over,0.36
2006,Male,50 years old and over,0.31
2007,Male,50 years old and over,0.28
2008,Male,50 years old and over,0.24
2009,Male,50 years old and over,0.21
2010,Male,50 years old and over,0.19
2011,Male,50 years old and over,0.17
2012,Male,50 years old and over,0.14
2013,Male,50 years old and over,0.12
2014,Male,50 years old and over,0.11
2015,Male,50 years old and over,0.1
2016,Male,50 years old and over,0.08
2017,Male,50 years old and over,0.07
2018,Male,50 years old and over,0.06
2019,Male,50 years old and over,0.06
2020,Male,50 years old and over,0.05
2000,Male,15 to 24 years old,0.82
2001,Male,15 to 24 years old,0.69
2002,Male,15 to 24 years old,0.6
2003,Male,15 to 24 years old,0.53
2004,Male,15 to 24 years old,0.47
2005,Male,15 to 24 years old,0.44
2006,Male,15 to 24 years old,0.39
2007,Male,15 to 24 years old,0.35
2008,Male,15 to 24 years old,0.3
2009,Male,15 to 24 years old,0.27
2010,Male,15 to 24 years old,0.25
2011,Male,15 to 24 years old,0.22
2012,Male,15 to 24 years old,0.19
2013,Male,15 to 24 years old,0.16
2014,Male,15 to 24 years old,0.15
2015,Male,15 to 24 years old,0.13
2016,Male,15 to 24 years old,0.11
2017,Male,15 to 24 years old,0.1
2018,Male,15 to 24 years old,0.09
2019,Male,15 to 24 years old,0.08
2020,Male,15 to 24 years old,0.07
2000,Male,15 to 49 years old,1.24
2001,Male,15 to 49 years old,1.04
2002,Male,15 to 49 years old,0.9
2003,Male,15 to 49 years old,0.8
2004,Male,15 to 49 years old,0.72
2005,Male,15 to 49 years old,0.67
2006,Male,15 to 49 years old,0.59
2007,Male,15 to 49 years old,0.53
2008,Male,15 to 49 years old,0.46
2009,Male,15 to 49 years old,0.43
2010,Male,15 to 49 years old,0.38
2011,Male,15 to 49 years old,0.34
2012,Male,15 to 49 years old,0.3
2013,Male,15 to 49 years old,0.25
2014,Male,15 to 49 years old,0.23
2015,Male,15 to 49 years old,0.2
2016,Male,15 to 49 years old,0.18
2017,Male,15 to 49 years old,0.15
2018,Male,15 to 49 years old,0.14
2019,Male,15 to 49 years old,0.12
2020,Male,15 to 49 years old,0.11
