Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Income or wealth quantile,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,11.6
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,7.4
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],Female,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,4.9
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],Male,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,7.8
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of children/households receiving child/family cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,4.5
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of children/households receiving child/family cash benefit [1.3.1],Female,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,3.9
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of children/households receiving child/family cash benefit [1.3.1],Male,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,5.2
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,1.3
2002,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,6.0
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,15.3
