Year,SDG Series,Type of product,Unit of measure,COMMENT_OBS,Observation-level footnotes,BASE_PER,Base period,Value
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,2.97902
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.10861
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.18522
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.18027
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.16209
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.32979
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.3718
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.49126
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.54536
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.69317
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.74467
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.73748
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.84246
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.81083
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.74175
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.01451
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.11304
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.10912
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.04137
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.07217
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.11001
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.11515
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.10243
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.14922
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.1632
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.17396
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.19387
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.26373
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.2712
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.32752
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.25304
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.29704
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.37423
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.29998
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.16319
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.4152
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.5367
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.57909
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.58471
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.59941
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.00717
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.00935
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01144
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01098
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01158
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01407
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.00938
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.00531
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.0073
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01381
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01642
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01583
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01927
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01663
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01842
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01625
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01833
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.02112
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.0198
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.02026
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.84837
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.96651
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.04952
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.00136
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.97174
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.11552
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.14988
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.202
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.24657
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.32895
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.44769
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.38218
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.40304
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.45199
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.51666
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.53894
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.51116
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.47408
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.40695
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.42188
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.28729
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.30708
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.28272
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.30823
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.29993
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.3402
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.33205
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.31609
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.3303
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.36484
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.39101
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.39569
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.41003
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.4264
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.44037
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.45459
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.45429
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.43642
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.42694
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.43449
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.40486
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.46124
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.42468
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.43726
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.44792
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.52932
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.52495
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.4907
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.51421
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.56612
