Year,SDG Series,Degree of urbanisation,COMMENT_OBS,Observation-level footnotes,Value
2000,Proportion of population practicing open defecation [6.2.1],,,,77
2001,Proportion of population practicing open defecation [6.2.1],,,,74
2002,Proportion of population practicing open defecation [6.2.1],,,,71
2003,Proportion of population practicing open defecation [6.2.1],,,,68
2004,Proportion of population practicing open defecation [6.2.1],,,,65
2005,Proportion of population practicing open defecation [6.2.1],,,,62
2006,Proportion of population practicing open defecation [6.2.1],,,,59
2007,Proportion of population practicing open defecation [6.2.1],,,,56
2008,Proportion of population practicing open defecation [6.2.1],,,,53
2009,Proportion of population practicing open defecation [6.2.1],,,,50
2010,Proportion of population practicing open defecation [6.2.1],,,,47
2011,Proportion of population practicing open defecation [6.2.1],,,,44
2012,Proportion of population practicing open defecation [6.2.1],,,,41
2013,Proportion of population practicing open defecation [6.2.1],,,,38
2014,Proportion of population practicing open defecation [6.2.1],,,,35
2015,Proportion of population practicing open defecation [6.2.1],,,,32
2016,Proportion of population practicing open defecation [6.2.1],,,,29
2017,Proportion of population practicing open defecation [6.2.1],,,,26
2018,Proportion of population practicing open defecation [6.2.1],,,,23
2019,Proportion of population practicing open defecation [6.2.1],,,,20
2020,Proportion of population practicing open defecation [6.2.1],,,,17
2000,Proportion of population practicing open defecation [6.2.1],Rural,,,87
2001,Proportion of population practicing open defecation [6.2.1],Rural,,,83
2002,Proportion of population practicing open defecation [6.2.1],Rural,,,80
2003,Proportion of population practicing open defecation [6.2.1],Rural,,,77
2004,Proportion of population practicing open defecation [6.2.1],Rural,,,73
2005,Proportion of population practicing open defecation [6.2.1],Rural,,,70
2006,Proportion of population practicing open defecation [6.2.1],Rural,,,67
2007,Proportion of population practicing open defecation [6.2.1],Rural,,,64
2008,Proportion of population practicing open defecation [6.2.1],Rural,,,60
2009,Proportion of population practicing open defecation [6.2.1],Rural,,,57
2010,Proportion of population practicing open defecation [6.2.1],Rural,,,54
2011,Proportion of population practicing open defecation [6.2.1],Rural,,,50
2012,Proportion of population practicing open defecation [6.2.1],Rural,,,47
2013,Proportion of population practicing open defecation [6.2.1],Rural,,,44
2014,Proportion of population practicing open defecation [6.2.1],Rural,,,41
2015,Proportion of population practicing open defecation [6.2.1],Rural,,,37
2016,Proportion of population practicing open defecation [6.2.1],Rural,,,34
2017,Proportion of population practicing open defecation [6.2.1],Rural,,,31
2018,Proportion of population practicing open defecation [6.2.1],Rural,,,27
2019,Proportion of population practicing open defecation [6.2.1],Rural,,,24
2020,Proportion of population practicing open defecation [6.2.1],Rural,,,21
2000,Proportion of population practicing open defecation [6.2.1],Urban,,,22
2001,Proportion of population practicing open defecation [6.2.1],Urban,,,22
2002,Proportion of population practicing open defecation [6.2.1],Urban,,,21
2003,Proportion of population practicing open defecation [6.2.1],Urban,,,20
2004,Proportion of population practicing open defecation [6.2.1],Urban,,,19
2005,Proportion of population practicing open defecation [6.2.1],Urban,,,18
