Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Unit of measure,Observation status,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2001,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,43.38618
2002,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,39.4006
2003,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,37.96538
2004,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,39.38814
2005,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,41.92948
2006,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,43.30334
2007,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,43.03884
2008,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,46.01117
2009,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,46.72199
2010,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,42.20635
2011,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,41.24992
2012,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,44.33093
2013,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,41.23947
2014,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,38.52005
2015,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,36.05704
2016,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,34.69696
2017,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,33.77929
2018,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,31.2188
2019,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,33.8848
2020,A,C,FAO calculation based on WB national account data,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,35.45143
2001,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.092
2002,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Consolidated Central Government Expenditure Excluding Social Security Funds,Obs_Value = NaN;  NaN = A figure was not provided,0.164
2003,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.131
2004,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.126
2005,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.38
2006,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.469
2007,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.419
2008,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.293
2009,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.35
2010,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.405
2011,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.395
2012,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.347
2013,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.161
2014,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.187
2015,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.199
2016,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.249
2017,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.261
2018,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.114
2019,A,C,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.104
