Year,SDG Series,Type of product,Value
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,11.67486
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,9.50125
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,10.57038
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,11.06945
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,11.46065
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,11.45777
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,11.17486
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,11.56996
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,13.65325
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,8.79128
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,12.06786
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,11.71822
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,12.99034
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,12.98058
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,13.331
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,14.5891
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,4.10546
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,0.745
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,35.0
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,35.0
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,35.0
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,35.0
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,35.0
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,35.0
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,35.0
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,35.0
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,10.16853
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,8.80329
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,9.55383
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,9.98823
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,10.24372
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,10.24107
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,9.60976
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,9.75931
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,5.0
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,5.0
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,5.0
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,5.0
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,5.0
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,5.0
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,5.0
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,5.0
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,27.42284
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,20.57593
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,22.67969
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,22.57293
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,26.57079
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,26.55957
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,28.7106
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,28.28556
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",,11.67486
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",,9.47904
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",,10.54935
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",,11.04396
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",,11.43718
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",,11.4343
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",,11.09648
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",,11.54954
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,13.65325
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,8.77253
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,11.98025
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,11.60467
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,12.9133
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,12.90369
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,12.97634
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,14.53674
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,4.10546
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,0.745
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,35.0
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.99648
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.9985
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.99849
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.99838
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.99838
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.99863
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.98847
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,10.16853
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,8.77987
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,9.53814
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,9.96913
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,10.22542
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,10.22275
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,9.5817
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,9.74484
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,5.0
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,5.0
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,5.0
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,5.0
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,5.0
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,5.0
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,5.0
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,4.97959
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,27.42284
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,20.56665
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,22.66826
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,22.56121
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,26.56626
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,26.55502
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,28.6522
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,28.27649
