Year,SDG Series,Education level,Value
2020,"Proportion of schools with basic handwashing facilities, by education level [4.a.1]",Primary education,13.72185
2020,"Proportion of schools with basic handwashing facilities, by education level [4.a.1]",Lower secondary education,24.48482
2020,"Proportion of schools with basic handwashing facilities, by education level [4.a.1]",Upper secondary education,24.48482
2020,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Secondary education (lower and upper secondary education),75.97614
2020,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Lower secondary education,75.97614
2020,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Upper secondary education,75.97614
2020,"Proportion of schools with access to electricity, by education level [4.a.1]",Primary education,26.9298
2020,"Proportion of schools with access to electricity, by education level [4.a.1]",Lower secondary education,70.44469
2020,"Proportion of schools with access to electricity, by education level [4.a.1]",Upper secondary education,70.44469
2020,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Secondary education (lower and upper secondary education),20.58026
2020,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Lower secondary education,20.58026
2020,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Upper secondary education,20.58026
